Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-November-2015,918.00,937.15,915.00,930.20,926.954009125519486180,275272,7902,255164484.00,59710,21.69,22.15,12.20
11-November-2015,928.00,933.00,927.00,928.95,929.229337443658189121,85638,2641,79577342.00,29469,34.41,6.00,0.95
10-November-2015,957.10,958.95,917.00,921.95,933.317853138207642103,278248,9817,259693826.00,70752,25.43,41.95,-35.15
9-November-2015,935.00,962.25,925.00,960.00,948.308940840479376780,267514,8720,253685918.00,53137,19.86,37.25,25.00
6-November-2015,938.00,954.00,938.00,952.45,948.601717613804736830,175476,7708,166456835.00,57438,32.73,16.00,14.45
5-November-2015,951.00,951.50,933.05,936.85,943.695061708133657191,243728,5288,230004910.00,61342,25.17,18.45,-14.15
4-November-2015,972.00,975.00,946.70,952.10,962.714775120946274391,172804,5939,166360964.00,49556,28.68,28.30,-19.90
3-November-2015,962.00,970.00,962.00,966.40,965.580485740044418057,181908,6062,175646815.00,72767,40.00,8.00,4.40
2-November-2015,946.10,960.50,945.25,959.15,953.791395179149758701,156238,5260,149018460.00,52839,33.82,15.25,13.05
30-October-2015,941.55,955.75,940.80,947.85,950.011908138868466298,172739,6341,164104107.00,53879,31.19,14.95,6.30
29-October-2015,938.80,944.95,935.50,941.55,940.364989044769286111,122316,4102,115021684.00,31883,26.07,9.45,2.75
28-October-2015,938.00,944.50,930.35,937.25,937.891220858284852708,140606,4750,131873133.00,27651,19.67,14.15,-0.75
27-October-2015,941.80,947.75,937.50,939.20,941.136659223430095408,142859,4432,134449842.00,49075,34.35,10.25,-2.60
26-October-2015,958.05,963.00,940.00,943.00,948.362743087031608758,151129,4227,143325113.00,34421,22.78,23.00,-15.05
23-October-2015,962.10,973.35,950.80,955.85,963.110290039408661565,239795,7265,230949032.00,58347,24.33,22.55,-6.25
21-October-2015,956.00,974.00,952.80,954.75,962.639011574385337043,290037,9210,279200931.00,61692,21.27,21.20,-1.25
20-October-2015,963.00,966.80,951.10,955.45,957.272667098282876110,206974,7181,198130553.00,50280,24.29,15.70,-7.55
19-October-2015,941.60,965.20,941.60,963.40,956.927018165043823012,802090,22962,767541592.00,215718,26.89,23.60,21.80
16-October-2015,905.00,914.70,904.00,912.20,911.129889343328129502,232521,8129,211856833.00,75022,32.26,10.70,7.20
15-October-2015,907.25,910.60,900.10,904.00,904.753390018016878970,189822,5702,171742098.00,61452,32.37,10.50,-3.25
14-October-2015,893.15,904.00,892.30,902.00,899.973925665746747428,167406,4923,150661035.00,36930,22.06,11.70,8.85
13-October-2015,887.80,895.00,883.00,892.55,889.830672730123882703,127540,4076,113489004.00,22649,17.76,12.00,4.75
12-October-2015,890.00,900.65,888.50,892.05,894.606531267960640662,144413,4292,129192813.00,35465,24.56,12.15,2.05
9-October-2015,896.85,904.90,882.10,886.35,891.526457055214723926,252976,7795,225534797.00,61312,24.24,22.80,-10.50
8-October-2015,914.15,915.00,886.60,889.15,899.302072724176104913,293575,9218,264012606.00,51113,17.41,28.40,-25.00
7-October-2015,895.80,917.00,890.05,913.85,903.615100043632737019,320860,9827,289933941.00,102933,32.08,26.95,18.05
6-October-2015,893.10,899.00,885.55,895.90,893.324663999179234636,233928,6473,208973652.00,78948,33.75,13.45,2.80
5-October-2015,865.00,889.90,862.50,886.25,877.666981924609089184,369010,9673,323867893.00,94602,25.64,27.40,21.25
1-October-2015,872.00,872.50,858.80,862.30,863.047239823182484447,173286,6118,149554004.00,40289,23.25,13.70,-9.70
30-September-2015,848.05,863.00,838.60,860.50,852.995450496309493509,345752,8835,294924883.00,81719,23.64,24.40,12.45
29-September-2015,829.00,849.30,826.55,839.15,837.311566600434022213,436844,9814,365774534.00,139144,31.85,22.75,10.15
28-September-2015,837.90,840.90,830.00,834.35,834.173028385491631369,778144,8841,649106737.00,540499,69.46,10.90,-3.55
24-September-2015,848.00,848.00,835.05,837.90,838.830351615359751053,730116,14038,612443461.00,435761,59.68,12.95,-10.10
23-September-2015,840.00,856.75,840.00,851.40,849.483767505219432385,416233,7535,353583177.00,192106,46.15,16.75,11.40
22-September-2015,880.10,884.45,845.00,847.45,863.342856787619739674,723862,11738,624941087.00,477166,65.92,39.45,-32.65
21-September-2015,880.00,887.75,875.70,877.70,881.519406540921690726,177131,5106,156144414.00,52048,29.38,12.05,-2.30
18-September-2015,877.50,899.00,877.10,895.10,888.562079930103233799,558538,9260,496295687.00,299128,53.56,21.90,17.60
16-September-2015,870.00,877.40,865.00,872.10,872.133349773652040654,283855,5986,247559412.00,124027,43.69,12.40,2.10
15-September-2015,862.00,869.65,856.20,867.55,863.397111327491074326,332748,6013,287293662.00,154721,46.50,13.45,5.55
14-September-2015,861.80,864.40,852.10,863.05,857.974036401473100351,244111,8204,209440900.00,84518,34.62,12.30,1.25
11-September-2015,873.35,876.30,857.30,861.05,863.292810191587102166,363751,7850,314023623.00,159079,43.73,19.00,-12.30
10-September-2015,860.10,870.00,856.00,866.95,863.256682765357065335,368560,7536,318161883.00,137971,37.44,14.00,6.85
9-September-2015,859.00,878.50,851.35,873.05,865.312371304648366573,410854,9521,355517049.00,159211,38.75,27.15,14.05
8-September-2015,836.00,853.20,826.00,848.95,842.164627298189179445,288488,8512,242954389.00,63595,22.04,27.20,12.95
7-September-2015,837.00,844.00,827.75,833.05,833.632119309615427889,177756,5562,148183111.00,55144,31.02,16.25,-3.95
4-September-2015,847.10,850.35,825.25,835.60,835.002571098091478287,636304,12469,531315476.00,347951,54.68,25.10,-11.50
3-September-2015,853.90,860.40,845.05,853.75,851.984223832799595482,207655,6354,176918784.00,62665,30.18,15.35,-0.15
2-September-2015,850.00,856.95,843.30,849.30,850.073697792869269949,368125,10196,312933380.00,159018,43.20,13.65,-0.70
1-September-2015,852.55,853.00,835.20,840.15,841.657222401994628698,670601,12857,564416175.00,346389,51.65,17.80,-12.40
31-August-2015,870.25,871.20,854.50,856.80,862.275492381750280448,352115,7150,303620135.00,173269,49.21,16.70,-13.45
28-August-2015,879.55,883.00,866.10,871.20,875.208477700271249629,239263,8608,209405006.00,50086,20.93,16.90,-8.35
27-August-2015,868.30,880.00,857.65,869.55,870.363021047311376661,338333,10403,294472532.00,74813,22.11,22.35,1.25
26-August-2015,847.90,874.80,841.45,853.45,860.727123957441788669,398419,10840,342930040.00,105284,26.43,33.35,5.55
25-August-2015,840.00,861.00,824.40,852.90,841.383062501836560782,680620,16540,572662140.00,200534,29.46,36.60,12.90
24-August-2015,890.00,890.00,819.00,828.95,856.280385852792810120,915064,25268,783551355.00,299159,32.69,71.00,-61.05
21-August-2015,910.00,911.80,897.35,907.30,905.011896882948695474,559054,19770,505950521.00,187345,33.51,14.45,-2.70
20-August-2015,959.90,960.00,916.25,918.85,933.152523157686257458,439271,13714,409906842.00,124581,28.36,43.75,-41.05
19-August-2015,944.90,960.45,939.65,952.70,951.559280900679253356,299152,9049,284660862.00,62549,20.91,20.80,7.80
18-August-2015,955.20,958.85,942.00,944.35,946.257791133342208866,262895,8646,248766442.00,70841,26.95,16.85,-10.85
17-August-2015,967.00,967.05,947.30,950.05,952.460764095968269251,278342,9709,265109834.00,77176,27.73,19.75,-16.95
14-August-2015,938.60,971.95,934.90,967.05,958.115116597496031883,376123,10717,360369132.00,99331,26.41,37.05,28.45
13-August-2015,948.00,954.10,931.25,934.90,942.976285996437829544,226828,7486,213893425.00,50913,22.45,22.85,-13.10
12-August-2015,966.35,966.35,940.15,943.05,952.959859180117622412,391422,9943,373009454.00,72306,18.47,26.20,-23.30
11-August-2015,976.00,976.00,958.55,966.35,966.671599576860976560,269415,8537,260435829.00,34245,12.71,17.45,-9.65
10-August-2015,985.00,989.80,966.25,970.10,977.980406608293065236,192667,6577,188424551.00,56124,29.13,23.55,-14.90
7-August-2015,981.00,994.00,975.30,984.25,987.008491702382238656,249891,6606,246644539.00,70534,28.23,18.70,3.25
6-August-2015,994.00,994.00,978.00,979.40,983.806335412023007504,239574,6978,235694419.00,66478,27.75,16.00,-14.60
