Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-February-2014,829.00,829.40,820.00,821.30,825.291481442413465740,132722,6308,109534336.00,54106,40.77,9.40,-7.70
31-January-2014,829.00,833.80,827.10,830.85,830.544476852155294837,183084,8647,152059405.00,47758,26.09,6.70,1.85
30-January-2014,831.90,834.20,823.00,825.70,827.844288030031567272,234420,11953,194063258.00,96151,41.02,11.20,-6.20
29-January-2014,851.00,852.00,835.10,836.75,842.702521234095410749,178722,10253,150609480.00,71529,40.02,16.90,-14.25
28-January-2014,846.00,855.00,844.20,845.80,849.614061480461103458,165516,8121,140624721.00,39033,23.58,10.80,-0.20
27-January-2014,856.70,860.55,840.10,842.80,849.869076697606253053,235405,10589,200063430.00,88458,37.58,20.45,-13.90
24-January-2014,863.20,874.50,862.35,867.00,868.707855828302675213,224954,12885,195419307.00,68274,30.35,12.15,3.80
23-January-2014,861.00,871.00,861.00,866.05,866.436190409430512474,171189,8817,148324345.00,46551,27.19,10.00,5.05
22-January-2014,862.60,875.70,859.00,872.20,869.386214472311711329,216662,10424,188362956.00,62384,28.79,16.70,9.60
21-January-2014,873.25,874.80,862.85,864.05,866.615092746735722788,210843,9501,182719726.00,43963,20.85,11.95,-9.20
20-January-2014,884.55,888.85,866.20,869.50,872.144062390682552420,388776,20013,339068680.00,138694,35.67,22.65,-15.05
17-January-2014,889.00,896.80,880.75,884.55,890.311027755443774793,300986,14436,267971155.00,110136,36.59,16.05,-4.45
16-January-2014,889.70,891.95,882.00,885.15,887.958997823782155013,179210,8782,159131132.00,31530,17.59,9.95,-4.55
15-January-2014,880.00,894.90,880.00,885.40,889.532687080138057683,275537,13175,245099168.00,69381,25.18,14.90,5.40
14-January-2014,877.35,884.80,872.80,881.10,880.239655248230069038,227410,10199,200175300.00,47613,20.94,12.00,3.75
13-January-2014,865.10,881.55,865.10,879.00,876.247137947623105197,318041,14249,278682516.00,107614,33.84,16.45,13.90
10-January-2014,848.45,874.70,848.45,856.90,862.504846906690641114,429346,17873,370313006.00,60349,14.06,26.25,8.45
9-January-2014,850.00,853.10,844.95,850.55,849.707537863908166382,229110,9884,194676494.00,78320,34.18,8.15,0.55
8-January-2014,845.40,856.50,844.60,848.25,849.984080474355720646,216715,9333,184204300.00,48240,22.26,11.90,2.85
7-January-2014,855.50,859.75,840.20,842.15,847.536377773411875181,300307,14004,254521107.00,114825,38.24,19.55,-13.35
6-January-2014,864.00,864.00,851.35,854.90,855.010742315032079501,237379,10323,202961595.00,97672,41.15,12.65,-9.10
3-January-2014,870.20,873.45,856.40,865.00,864.689845033207169892,280060,16118,242165038.00,86118,30.75,17.05,-5.20
2-January-2014,890.00,895.80,871.00,875.35,883.426613046802182496,190974,7696,168711514.00,55543,29.08,24.80,-14.65
1-January-2014,896.75,898.00,887.20,888.70,891.422721084225509004,129272,5540,115235998.00,41484,32.09,10.80,-8.05
